,narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,duration_in_s,strict_es_overlap,loose_es_overlap
11,P01_01_15,P01,P01_01,00:00:45.649,00:00:46.45,00:00:47.81,2787,2868,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.36,False,True
12,P01_01_153,P01,P01_01,00:11:54.480,00:11:56.49,00:11:57.82,42989,43069,put down oil,put-down,1,oil,31,['oil'],[31],1.33,False,True
13,P01_01_157,P01,P01_01,00:12:01.540,00:12:02.45,00:12:03.55,43347,43413,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.1,False,True
14,P01_01_162,P01,P01_01,00:12:31.020,00:12:32.75,00:12:34.00,45165,45240,put down salt,put-down,1,salt,38,['salt'],[38],1.25,False,True
15,P01_01_169,P01,P01_01,00:12:44.460,00:12:46.10,00:12:46.78,45966,46006,put down spoon,put-down,1,spoon,1,['spoon'],[1],0.68,False,True
16,P01_01_170,P01,P01_01,00:12:46.130,00:12:47.50,00:12:49.40,46050,46164,put down salt,put-down,1,salt,38,['salt'],[38],1.9,False,True
17,P01_01_177,P01,P01_01,00:13:38.450,00:13:39.54,00:13:40.87,49172,49252,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.33,False,True
18,P01_01_180,P01,P01_01,00:13:44.300,00:13:44.28,00:13:45.77,49456,49546,put down something,put-down,1,knife,4,['knife'],[4],1.49,False,True
19,P01_01_183,P01,P01_01,00:13:57.640,00:13:59.14,00:14:00.44,50348,50426,put down rice,put-down,1,rice,55,['rice'],[55],1.3,False,True
20,P01_01_187,P01,P01_01,00:14:22.410,00:14:24.26,00:14:25.31,51855,51918,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.05,False,True
21,P01_01_193,P01,P01_01,00:14:45.310,00:14:49.53,00:14:50.92,53371,53455,put down tofu container,put-down,1,container:tofu,21,['container:tofu'],[21],1.39,False,True
22,P01_01_195,P01,P01_01,00:15:02.690,00:15:04.17,00:15:05.18,54250,54310,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.01,False,True
23,P01_01_197,P01,P01_01,00:15:10.040,00:15:09.33,00:15:11.48,54559,54688,throw something into the bin,throw-into,13,bin,36,['bin'],[36],2.15,False,True
24,P01_01_198,P01,P01_01,00:15:07.820,00:15:11.43,00:15:13.59,54685,54815,throw something into the bin,throw-into,13,bin,36,['bin'],[36],2.16,False,True
25,P01_01_199,P01,P01_01,00:15:15.490,00:15:17.61,00:15:18.43,55056,55105,throw tupperware container into the bin,throw-into,13,container:tupperware,23,"['container:tupperware', 'bin']","[23, 36]",0.82,False,True
26,P01_01_20,P01,P01_01,00:00:56.670,00:00:54.73,00:00:55.74,3283,3344,put down knife,put-down,1,knife,4,['knife'],[4],1.01,False,True
27,P01_01_215,P01,P01_01,00:16:24.740,00:16:26.43,00:16:28.16,59185,59289,put bottle onto table,put-onto,1,bottle,15,"['bottle', 'table']","[15, 42]",1.73,False,False
28,P01_01_22,P01,P01_01,00:00:53.670,00:00:57.45,00:00:58.70,3447,3522,put down knife,put-down,1,knife,4,['knife'],[4],1.25,False,True
29,P01_01_225,P01,P01_01,00:17:12.129,00:17:13.60,00:17:14.56,62015,62073,put down spatula,put-down,1,spatula,20,['spatula'],[20],0.96,True,True
30,P01_01_228,P01,P01_01,00:17:25.799,00:17:20.23,00:17:28.68,62413,62920,put down,put-down,1,glass,10,['glass'],[10],8.45,False,False
31,P01_01_229,P01,P01_01,00:17:20.669,00:17:21.52,00:17:26.04,62491,62762,put down glass,put-down,1,glass,10,['glass'],[10],4.52,False,False
32,P01_01_233,P01,P01_01,00:17:44.700,00:17:46.54,00:17:47.60,63992,64055,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.06,False,True
33,P01_01_238,P01,P01_01,00:18:00.190,00:18:03.68,00:18:04.55,65020,65073,put container back into cupboard,put,1,container,21,"['container', 'cupboard']","[21, 3]",0.87,False,True
34,P01_01_243,P01,P01_01,00:18:50.129,00:18:51.93,00:18:53.76,67915,68025,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.83,False,True
35,P01_01_246,P01,P01_01,00:19:37.500,00:19:38.58,00:19:40.53,70714,70831,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.95,False,True
36,P01_01_249,P01,P01_01,00:20:23.120,00:20:15.19,00:20:25.84,72911,73550,put down spatula,put-down,1,spatula,20,['spatula'],[20],10.65,True,True
37,P01_01_254,P01,P01_01,00:20:36.309,00:20:36.14,00:20:38.93,74168,74335,put down spoon,put-down,1,spoon,1,['spoon'],[1],2.79,False,True
38,P01_01_260,P01,P01_01,00:21:10.289,00:21:12.55,00:21:13.96,76353,76437,put down bottle,put-down,1,bottle,15,['bottle'],[15],1.41,False,True
39,P01_01_261,P01,P01_01,00:21:15.580,00:21:16.12,00:21:17.61,76567,76656,put down glass,put-down,1,glass,10,['glass'],[10],1.49,False,True
40,P01_01_265,P01,P01_01,00:21:32.480,00:21:35.96,00:21:36.98,77757,77818,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.02,False,True
41,P01_01_268,P01,P01_01,00:21:46.399,00:21:51.47,00:21:54.03,78688,78841,put down spatula,put-down,1,spatula,20,['spatula'],[20],2.56,False,True
42,P01_01_274,P01,P01_01,00:22:45.840,00:22:46.01,00:22:49.61,81960,82176,put down spoon,put-down,1,spoon,1,['spoon'],[1],3.6,False,True
43,P01_01_280,P01,P01_01,00:23:31.929,00:23:33.00,00:23:34.00,84780,84840,put on drainer,put-on,1,drainer,110,['drainer'],[110],1.0,False,True
44,P01_01_282,P01,P01_01,00:23:42.990,00:23:44.20,00:23:45.98,85452,85558,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],1.78,False,True
45,P01_01_283,P01,P01_01,00:23:44.769,00:23:46.14,00:23:47.80,85568,85668,put down drainer,put-down,1,drainer,110,['drainer'],[110],1.66,False,True
46,P01_01_284,P01,P01_01,00:23:46.759,00:23:48.37,00:23:49.19,85702,85751,put down spatula,put-down,1,spatula,20,['spatula'],[20],0.82,False,False
47,P01_01_287,P01,P01_01,00:23:54.970,00:23:56.35,00:23:57.03,86181,86221,put down spatula,put-down,1,spatula,20,['spatula'],[20],0.68,False,True
48,P01_01_29,P01,P01_01,00:01:24.229,00:01:25.49,00:01:26.49,5129,5189,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94],1.0,False,False
49,P01_01_291,P01,P01_01,00:24:01.919,00:24:02.96,00:24:04.06,86577,86643,put down curry powder,put-down,1,powder:curry,138,['powder:curry'],[138],1.1,False,True
50,P01_01_301,P01,P01_01,00:25:46.679,00:25:48.75,00:25:49.85,92925,92991,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.1,False,True
51,P01_01_303,P01,P01_01,00:25:52.350,00:25:54.44,00:25:55.19,93266,93311,put curry powder down,put-down,1,powder:curry,138,['powder:curry'],[138],0.75,False,True
52,P01_01_311,P01,P01_01,00:26:12.289,00:26:13.89,00:26:14.66,94433,94479,put down container,put-down,1,container,21,['container'],[21],0.77,False,True
53,P01_01_312,P01,P01_01,00:26:13.289,00:26:14.19,00:26:15.30,94451,94518,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.11,False,True
54,P01_01_314,P01,P01_01,00:26:16.220,00:26:17.78,00:26:19.15,94666,94749,put down plate,put-down,1,plate,2,['plate'],[2],1.37,False,True
55,P01_01_321,P01,P01_01,00:26:57.749,00:26:58.16,00:27:00.51,97089,97230,put down spatula,put-down,1,spatula,20,['spatula'],[20],2.35,False,True
56,P01_01_322,P01,P01_01,00:26:59.950,00:27:00.99,00:27:03.13,97259,97387,put down pan,put-down,1,pan,5,['pan'],[5],2.14,False,True
57,P01_01_329,P01,P01_01,00:27:18.639,00:27:20.40,00:27:21.69,98424,98501,put down plate,put-down,1,plate,2,['plate'],[2],1.29,False,True
58,P01_01_33,P01,P01_01,00:01:39.149,00:01:40.74,00:01:42.26,6044,6135,put down pan,put-down,1,pan,5,['pan'],[5],1.52,False,True
59,P01_01_46,P01,P01_01,00:04:21.120,00:04:21.69,00:04:24.65,15701,15878,throw courgette into rubbish bin,throw-into,13,courgette,76,"['courgette', 'bin:rubbish']","[76, 36]",2.96,False,True
60,P01_01_54,P01,P01_01,00:04:42.720,00:04:45.15,00:04:46.79,17109,17207,put down salt,put-down,1,salt,38,['salt'],[38],1.64,False,True
61,P01_01_56,P01,P01_01,00:04:52.960,00:04:54.35,00:04:55.60,17661,17736,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.25,False,False
62,P01_01_62,P01,P01_01,00:05:17.229,00:05:18.25,00:05:20.00,19095,19200,put down celery,put-down,1,celery,223,['celery'],[223],1.75,False,True
63,P01_01_66,P01,P01_01,00:05:44.470,00:05:46.01,00:05:47.67,20760,20860,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]",1.66,False,False
64,P01_01_68,P01,P01_01,00:05:53.169,00:05:54.09,00:05:58.44,21245,21506,throw things into garbage bin,throw-into,13,bin:garbage,36,['bin:garbage'],[36],4.35,False,True
65,P01_01_74,P01,P01_01,00:06:16.289,00:06:17.83,00:06:19.31,22669,22758,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.48,False,True
66,P01_01_78,P01,P01_01,00:06:23.840,00:06:24.86,00:06:25.58,23091,23134,put down onion,put-down,1,onion,16,['onion'],[16],0.72,False,True
67,P01_01_85,P01,P01_01,00:07:04.300,00:07:04.69,00:07:06.42,25481,25585,put down knife,put-down,1,knife,4,['knife'],[4],1.73,False,True
68,P01_02_111,P01,P01_02,00:06:19.310,00:06:18.99,00:06:19.74,22739,22784,throw leftovers into bin,throw-into,13,leftover,34,"['leftover', 'bin']","[34, 36]",0.75,False,True
69,P01_02_127,P01,P01_02,00:07:25.499,00:07:24.79,00:07:25.95,26687,26757,put down rag,put-down,1,rag,17,['rag'],[17],1.16,False,True
70,P01_02_130,P01,P01_02,00:07:31.580,00:07:31.18,00:07:33.43,27070,27205,put down cloth,put-down,1,cloth,17,['cloth'],[17],2.25,False,True
71,P01_02_134,P01,P01_02,00:07:46.159,00:07:45.83,00:07:47.33,27949,28039,put down eating board,put-down,1,board:eating,84,['board:eating'],[84],1.5,False,True
72,P01_02_143,P01,P01_02,00:08:13.550,00:08:13.20,00:08:14.20,29592,29652,put down bottle,put-down,1,bottle,15,['bottle'],[15],1.0,False,True
73,P01_02_16,P01,P01_02,00:00:49.320,00:00:49.51,00:00:50.02,2970,3001,put down knife,put-down,1,knife,4,['knife'],[4],0.51,False,True
74,P01_02_2,P01,P01_02,00:00:09.260,00:00:10.13,00:00:18.13,607,1087,throw leftovers into bin,throw-into,13,leftover,34,"['leftover', 'bin']","[34, 36]",8.0,True,True
75,P01_02_20,P01,P01_02,00:01:03.199,00:01:03.16,00:01:04.13,3789,3847,put down plate,put-down,1,plate,2,['plate'],[2],0.97,False,True
76,P01_02_26,P01,P01_02,00:01:20.479,00:01:20.12,00:01:22.00,4807,4920,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.88,False,True
77,P01_02_29,P01,P01_02,00:01:28.530,00:01:28.08,00:01:29.72,5284,5383,put down colander,put-down,1,colander,39,['colander'],[39],1.64,False,True
78,P01_02_35,P01,P01_02,00:01:48.920,00:01:49.17,00:01:50.91,6550,6654,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],1.74,False,True
79,P01_02_36,P01,P01_02,00:01:51.149,00:01:50.75,00:01:52.25,6645,6735,put down colander,put-down,1,colander,39,['colander'],[39],1.5,False,True
80,P01_02_4,P01,P01_02,00:00:20.860,00:00:21.01,00:00:22.56,1260,1353,put down plate,put-down,1,plate,2,['plate'],[2],1.55,True,True
81,P01_02_41,P01,P01_02,00:02:17.910,00:02:16.33,00:02:17.93,8179,8275,put down pan,put-down,1,pan,5,['pan'],[5],1.6,False,True
82,P01_02_45,P01,P01_02,00:02:31.720,00:02:32.32,00:02:33.57,9139,9214,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.25,False,True
83,P01_02_49,P01,P01_02,00:02:43.590,00:02:43.39,00:02:43.96,9803,9837,put down sponge,put-down,1,sponge,9,['sponge'],[9],0.57,False,True
84,P01_02_50,P01,P01_02,00:02:45.750,00:02:44.84,00:02:46.74,9890,10004,put down grater,put-down,1,grater,96,['grater'],[96],1.9,False,True
85,P01_02_54,P01,P01_02,00:02:53.770,00:02:52.98,00:02:53.71,10378,10422,put down sponge,put-down,1,sponge,9,['sponge'],[9],0.73,False,True
86,P01_02_60,P01,P01_02,00:03:19.570,00:03:19.58,00:03:20.50,11974,12030,put down grater,put-down,1,grater,96,['grater'],[96],0.92,False,True
87,P01_02_64,P01,P01_02,00:03:37.290,00:03:37.48,00:03:38.43,13048,13105,put down colander,put-down,1,colander,39,['colander'],[39],0.95,False,False
88,P01_02_67,P01,P01_02,00:03:46.420,00:03:46.66,00:03:48.11,13599,13686,put down spatula,put-down,1,spatula,20,['spatula'],[20],1.45,False,True
89,P01_02_71,P01,P01_02,00:04:05.830,00:04:05.66,00:04:08.95,14739,14937,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],3.29,False,True
90,P01_02_82,P01,P01_02,00:04:48.419,00:04:48.79,00:04:50.98,17327,17458,put down pan,put-down,1,pan,5,['pan'],[5],2.19,False,True
91,P01_02_86,P01,P01_02,00:04:55.560,00:04:55.49,00:04:56.98,17729,17818,put down knife,put-down,1,knife,4,['knife'],[4],1.49,False,True
92,P01_02_88,P01,P01_02,00:04:59.580,00:04:59.67,00:05:00.45,17980,18027,put down fork,put-down,1,fork,14,['fork'],[14],0.78,False,True
93,P01_02_92,P01,P01_02,00:05:08.960,00:05:09.10,00:05:11.17,18546,18670,put down plate,put-down,1,plate,2,['plate'],[2],2.07,False,True
94,P01_02_96,P01,P01_02,00:05:24.219,00:05:24.25,00:05:27.00,19455,19620,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],2.75,False,True
95,P01_03_10,P01,P01_03,00:00:24.350,00:00:24.77,00:00:25.93,1486,1555,put down container,put-down,1,container,21,['container'],[21],1.16,False,True
96,P01_03_11,P01,P01_03,00:00:25.350,00:00:24.93,00:00:25.87,1495,1552,put down soy milk,put-down,1,milk:soy,64,['milk:soy'],[64],0.94,False,True
97,P01_03_19,P01,P01_03,00:00:50.700,00:00:50.75,00:00:51.60,3045,3096,put down cup,put-down,1,cup,13,['cup'],[13],0.85,False,True
98,P01_03_26,P01,P01_03,00:01:11.570,00:01:11.27,00:01:12.11,4276,4326,put down the soy milk,put-down,1,milk:soy,64,['milk:soy'],[64],0.84,False,True
99,P01_03_31,P01,P01_03,00:01:20.540,00:01:21.84,00:01:22.60,4910,4956,put down spoon,put-down,1,spoon,1,['spoon'],[1],0.76,False,True
100,P01_03_35,P01,P01_03,00:01:29.010,00:01:32.35,00:01:35.01,5541,5700,put down cereals,put-down,1,cereal,99,['cereal'],[99],2.66,True,True
101,P01_03_41,P01,P01_03,00:01:51.380,00:01:53.34,00:01:54.65,6800,6879,put down bag,put-down,1,bag,19,['bag'],[19],1.31,False,False
102,P01_03_7,P01,P01_03,00:00:15.539,00:00:16.87,00:00:17.98,1012,1078,put back container,put-back,1,container,21,['container'],[21],1.11,False,True
103,P01_04_1,P01,P01_04,00:00:03.480,00:00:02.87,00:00:05.10,172,306,put down cup,put-down,1,cup,13,['cup'],[13],2.23,False,True
104,P01_04_29,P01,P01_04,00:01:32.500,00:01:37.91,00:01:40.35,5874,6021,put down bottle,put-down,1,bottle,15,['bottle'],[15],2.44,False,True
105,P01_04_30,P01,P01_04,00:01:40.200,00:01:38.95,00:01:40.61,5937,6036,put down glass,put-down,1,glass,10,['glass'],[10],1.66,False,True
106,P01_04_7,P01,P01_04,00:00:20.260,00:00:19.68,00:00:22.71,1180,1362,put down cereal box,put-down,1,box:cereal,23,['box:cereal'],[23],3.03,False,True
107,P01_05_104,P01,P01_05,00:05:48.719,00:05:47.48,00:05:49.65,20848,20979,put pan on hob,put-on,1,pan,5,"['pan', 'hob']","[5, 24]",2.17,False,False
108,P01_05_108,P01,P01_05,00:06:33.509,00:06:30.30,00:06:34.23,23418,23653,put down kettle,put-down,1,kettle,44,['kettle'],[44],3.93,True,True
109,P01_05_116,P01,P01_05,00:06:53.699,00:06:52.98,00:06:54.15,24778,24849,put down salt,put-down,1,salt,38,['salt'],[38],1.17,False,True
110,P01_05_117,P01,P01_05,00:06:54.699,00:06:53.83,00:06:54.53,24829,24871,put down spoon,put-down,1,spoon,1,['spoon'],[1],0.7,False,True
111,P01_05_120,P01,P01_05,00:07:06.449,00:07:05.69,00:07:07.79,25541,25667,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],2.1,False,True
112,P01_05_121,P01,P01_05,00:07:13.150,00:07:12.35,00:07:14.99,25941,26099,throw sausage sleeve,throw,13,sausage,86,['sausage'],[86],2.64,False,True
113,P01_05_124,P01,P01_05,00:07:38.789,00:07:39.24,00:07:41.73,27554,27703,throw plastic into bin,throw-into,13,plastic,26,"['plastic', 'bin']","[26, 36]",2.49,False,True
114,P01_05_13,P01,P01_05,00:00:40.390,00:00:40.30,00:00:41.55,2418,2493,put down plate,put-down,1,plate,2,['plate'],[2],1.25,False,False
115,P01_05_133,P01,P01_05,00:08:00.860,00:08:00.62,00:08:01.57,28837,28894,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],0.95,False,True
116,P01_05_137,P01,P01_05,00:08:10.180,00:08:10.03,00:08:10.78,29401,29446,put down bread,put-down,1,bread,33,['bread'],[33],0.75,False,False
117,P01_05_140,P01,P01_05,00:08:27.969,00:08:27.63,00:08:28.93,30457,30535,put down knife,put-down,1,knife,4,['knife'],[4],1.3,False,True
118,P01_05_144,P01,P01_05,00:08:38.620,00:08:38.89,00:08:39.95,31133,31197,put down bag,put-down,1,bag,19,['bag'],[19],1.06,False,False
119,P01_05_145,P01,P01_05,00:08:43.440,00:08:43.08,00:08:44.13,31384,31447,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.05,False,True
120,P01_05_150,P01,P01_05,00:09:01.060,00:08:58.50,00:09:01.00,32310,32460,put blade down,put-down,1,blade,4,['blade'],[4],2.5,False,True
121,P01_05_154,P01,P01_05,00:09:08.149,00:09:07.36,00:09:09.32,32841,32959,put down fork,put-down,1,fork,14,['fork'],[14],1.96,True,True
122,P01_05_160,P01,P01_05,00:09:44.760,00:09:44.21,00:09:46.50,35052,35190,put bottle down,put,1,bottle,15,['bottle'],[15],2.29,False,True
123,P01_05_165,P01,P01_05,00:10:50.250,00:10:49.99,00:10:50.68,38999,39040,throw mesh into bin,throw-into,13,mesh,39,"['mesh', 'bin']","[39, 36]",0.69,False,True
124,P01_05_171,P01,P01_05,00:11:27.639,00:11:27.07,00:11:28.47,41224,41308,put fruit onto table,put-onto,1,fruit,254,"['fruit', 'table']","[254, 42]",1.4,False,True
125,P01_05_175,P01,P01_05,00:11:47.440,00:11:36.99,00:11:45.59,41819,42335,put sausages onto pan,put-onto,1,sausage,86,"['sausage', 'pan']","[86, 5]",8.6,False,True
126,P01_05_177,P01,P01_05,00:11:38.910,00:11:48.14,00:11:53.10,42488,42786,put sausages onto pan,put-onto,1,sausage,86,"['sausage', 'pan']","[86, 5]",4.96,False,True
127,P01_05_178,P01,P01_05,00:11:58.620,00:11:56.84,00:11:59.09,43010,43145,throw box into lid into bin,throw-into,13,box,23,"['box', 'lid', 'bin']","[23, 6, 36]",2.25,False,True
128,P01_05_185,P01,P01_05,00:13:09.100,00:13:08.10,00:13:09.23,47286,47353,put down tongs,put-down,1,tongs,142,['tongs'],[142],1.13,False,True
129,P01_05_188,P01,P01_05,00:13:19.360,00:13:19.81,00:13:20.55,47988,48033,put down spoon,put-down,1,spoon,1,['spoon'],[1],0.74,False,True
130,P01_05_198,P01,P01_05,00:16:09.240,00:16:08.23,00:16:10.61,58093,58236,put down candle,put-down,1,candle,280,['candle'],[280],2.38,False,True
131,P01_05_20,P01,P01_05,00:00:59.840,00:01:00.22,00:01:01.42,3613,3685,put on saucepan,put-on,1,saucepan,5,['saucepan'],[5],1.2,False,True
132,P01_05_215,P01,P01_05,00:18:01.690,00:18:01.43,00:18:02.48,64885,64948,put down tong,put-down,1,tong,142,['tong'],[142],1.05,False,True
133,P01_05_218,P01,P01_05,00:18:08.850,00:18:07.99,00:18:09.02,65279,65341,put down knife,put-down,1,knife,4,['knife'],[4],1.03,False,False
134,P01_05_228,P01,P01_05,00:19:00.870,00:19:00.57,00:19:01.93,68434,68515,put down tong,put-down,1,tong,142,['tong'],[142],1.36,False,False
135,P01_05_234,P01,P01_05,00:19:36.870,00:19:36.22,00:19:37.72,70573,70663,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5],1.5,False,True
136,P01_05_236,P01,P01_05,00:19:49.010,00:19:48.98,00:19:50.20,71338,71412,put down colander,put-down,1,colander,39,['colander'],[39],1.22,False,False
137,P01_05_238,P01,P01_05,00:19:53.410,00:19:52.58,00:19:53.59,71554,71615,put down oil,put-down,1,oil,31,['oil'],[31],1.01,False,False
138,P01_05_242,P01,P01_05,00:20:00.830,00:19:58.26,00:20:11.63,71895,72697,place sausages into pan,place,1,sausage,86,"['sausage', 'pan']","[86, 5]",13.37,True,True
139,P01_05_244,P01,P01_05,00:20:15.020,00:20:13.32,00:20:14.79,72799,72887,put down frying pan,put-down,1,pan:frying,5,['pan:frying'],[5],1.47,False,False
140,P01_05_251,P01,P01_05,00:20:42.280,00:20:41.53,00:20:44.43,74491,74665,put down oil,put-down,1,oil,31,['oil'],[31],2.9,False,False
141,P01_05_256,P01,P01_05,00:20:58.010,00:20:58.78,00:21:00.00,75526,75600,put rosemary down,put-down,1,rosemary,277,['rosemary'],[277],1.22,False,False
142,P01_05_32,P01,P01_05,00:01:46.080,00:01:46.05,00:01:46.88,6363,6412,put ladle back into drawer,put,1,ladle,97,"['ladle', 'drawer']","[97, 8]",0.83,False,True
143,P01_05_35,P01,P01_05,00:01:53.090,00:01:51.94,00:01:52.51,6716,6750,put down knife,put-down,1,knife,4,['knife'],[4],0.57,False,False
144,P01_05_39,P01,P01_05,00:02:01.470,00:02:00.25,00:02:01.50,7215,7290,put down cloth,put-down,1,cloth,17,['cloth'],[17],1.25,False,True
145,P01_05_40,P01,P01_05,00:02:00.470,00:02:01.70,00:02:02.66,7302,7359,put down spatula,put-down,1,spatula,20,['spatula'],[20],0.96,False,True
146,P01_05_42,P01,P01_05,00:02:05.509,00:02:02.94,00:02:06.36,7376,7581,put down cutleries,put-down,1,cutlery,58,['cutlery'],[58],3.42,True,True
147,P01_05_44,P01,P01_05,00:02:07.979,00:02:08.94,00:02:20.36,7736,8421,put down cutleries,put-down,1,cutlery,58,['cutlery'],[58],11.42,False,True
148,P01_05_6,P01,P01_05,00:00:22.780,00:00:22.33,00:00:24.31,1339,1458,put down sausages,put-down,1,sausage,86,['sausage'],[86],1.98,False,True
149,P01_05_61,P01,P01_05,00:03:04.019,00:03:02.30,00:03:04.22,10938,11053,put down kettle,put-down,1,kettle,44,['kettle'],[44],1.92,False,True
150,P01_05_65,P01,P01_05,00:03:11.879,00:03:11.24,00:03:12.18,11474,11530,put spoon,put,1,spoon,1,['spoon'],[1],0.94,False,True
151,P01_05_72,P01,P01_05,00:03:20.319,00:03:20.50,00:03:21.39,12030,12083,put down knife,put-down,1,knife,4,['knife'],[4],0.89,False,True
152,P01_05_79,P01,P01_05,00:04:27.430,00:04:24.72,00:04:28.35,15883,16101,put down potato,put-down,1,potato,30,['potato'],[30],3.63,False,False
153,P01_05_8,P01,P01_05,00:00:28.530,00:00:27.53,00:00:29.29,1651,1757,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.76,False,True
154,P01_05_82,P01,P01_05,00:04:48.970,00:04:48.03,00:04:48.61,17281,17316,put down knife,put-down,1,knife,4,['knife'],[4],0.58,False,True
155,P01_05_88,P01,P01_05,00:04:55.470,00:04:54.86,00:04:56.10,17691,17766,put saucepan on hob,put-on,1,saucepan,5,"['saucepan', 'hob']","[5, 24]",1.24,False,True
156,P01_05_94,P01,P01_05,00:05:10.990,00:05:11.11,00:05:11.67,18666,18700,throw skin into bin,throw-into,13,skin,48,"['skin', 'bin']","[48, 36]",0.56,False,True
157,P01_06_1,P01,P01_06,00:00:02.889,00:00:02.21,00:00:03.28,132,196,put down knife,put-down,1,knife,4,['knife'],[4],1.07,False,True
158,P01_06_11,P01,P01_06,00:00:30.359,00:00:30.40,00:00:31.45,1824,1887,put down fruit,put-down,1,fruit,254,['fruit'],[254],1.05,False,False
159,P01_06_15,P01,P01_06,00:00:51.300,00:00:50.24,00:00:52.03,3014,3121,put tablecloth,put,1,tablecloth,17,['tablecloth'],[17],1.79,False,True
160,P01_06_18,P01,P01_06,00:00:59.780,00:00:59.45,00:01:01.09,3567,3665,put down washing up liquid,put-down,1,liquid:washing:up,22,['liquid:washing:up'],[22],1.64,False,False
161,P01_06_22,P01,P01_06,00:01:09.899,00:01:09.10,00:01:10.12,4146,4207,put down fork,put-down,1,fork,14,['fork'],[14],1.02,False,True
162,P01_06_25,P01,P01_06,00:01:13.159,00:01:13.18,00:01:13.84,4390,4430,put down spoon,put-down,1,spoon,1,['spoon'],[1],0.66,False,True
163,P01_06_28,P01,P01_06,00:01:21.039,00:01:21.01,00:01:22.27,4860,4936,put down knife,put-down,1,knife,4,['knife'],[4],1.26,False,True
164,P01_06_3,P01,P01_06,00:00:07.480,00:00:07.23,00:00:11.85,433,711,throw leftovers into bin,throw-into,13,leftover,34,"['leftover', 'bin']","[34, 36]",4.62,True,True
